Value|Category|Answer|Question
500|INTERNATIONAL CUISINE|couscous|Tunisians like to eat this ubiquitous North African semolina dish with spicy harissa sauce
100|PICTURE THE FIRST LADY|Jacqueline Kennedy|This woman seen here met her future husband at a D.C. dinner party in 1951
200|PICTURE THE FIRST LADY|Laura Bush|As a child, this first lady seen here grew up living a half-mile from her future husband
300|PICTURE THE FIRST LADY|Pat Nixon|This first lady seen here was portrayed on film by Joan Allen in 1995
400|PICTURE THE FIRST LADY|Rosalynn Carter|She's the former class valedectorian seen here with her daughter
500|PICTURE THE FIRST LADY|Mary Todd Lincoln|In 1875 this woman seen here was put in a sanitarium, but she was deemed sane a year later
100|SAM HE IS|Sam Houston|Despite his efforts, Texas voted to secede from the Union & forced him from office in March 1861
200|SAM HE IS|Sammy Hagar|He replaced David Lee Roth as Van Halen's lead singer, at least for a while
300|SAM HE IS|Sam Donaldson|He was ABC News' chief White House correspondent from 1977 to 1989
400|SAM HE IS|Samuel Adams|The cousin of an early president, or a prize-winning beer
500|SAM HE IS|Sam Rayburn|He served as speaker of the U.S. House of Representatives for 17 years, the longest term ever
100|'ROUND THE WORLD|Ireland|The Sam McGuire Football Cup is awarded to a league champion in this island country
200|'ROUND THE WORLD|Arctic|Even at 5.4 million square miles, it's the world's smallest ocean
300|'ROUND THE WORLD|Birmingham|A manufacturing powerhouse since the Industrial Revolution, this city is England's 2nd largest in population
400|'ROUND THE WORLD|Brazil|Of Brazil, India or Australia, the one that's largest in area
500|'ROUND THE WORLD|Italy|You'll find the Dolomite Alps rising to nearly 11,000 feet in this European country
100|HIGH SCHOOL TV|Welcome Back, Kotter|John Travolta & Gabe Kaplan starred in this series about a classroom of remedial students
200|HIGH SCHOOL TV|Head of the Class|Robin Givens & Howard Hesseman were featured in this series about a classroom of honors students
300|HIGH SCHOOL TV|Mr. Cooper|You might want to hang with this title high school teacher played by Mark Curry
400|HIGH SCHOOL TV|Happy Days|This series that debuted in the '70s was set in the '50s & featured students of Jefferson High
500|HIGH SCHOOL TV|Mister Peepers|In 1952 Wally Cox was this title science teacher
100|BEASTLY COMMON BONDS|Ducks|Bufflehead, eider, teal
200|BEASTLY COMMON BONDS|Snakes|Bushmaster, coral, hognose
300|BEASTLY COMMON BONDS|Dolphins|Tucuxi, bottle-nosed, spinner
400|BEASTLY COMMON BONDS|Eagles|White-tailed, harpy, golden
500|BEASTLY COMMON BONDS|Seals|Harbor, northern fur, bearded
100|STATE OF THE UNION|West Virginia|Turnabout is fair play--it seceded from a confederate state & joined the union in June 1863
200|STATE OF THE UNION|Illinois (Sears Tower)|You'll find the USA's tallest building in this state
300|STATE OF THE UNION|Michigan|More breakfast cereal is produced in this state's city of Battle Creek than any other place on Earth
400|STATE OF THE UNION|New Jersey|The light bulb & the phonograph were invented in this state
500|STATE OF THE UNION|Nevada|This state gets fewer inches of rain each year than any other
100|COLOR MY WORLD|the Black Forest|Fir tree cover gave this region of southwest Germany its name
200|COLOR MY WORLD|the Green Zone|In Iraq, the U.S. Embassy is in this fortified part of Baghdad
300|COLOR MY WORLD|White Russia|It's a colorful old 2-word term for what's now Belarus
400|COLOR MY WORLD|Orange|Arausio is the ancient name of this French town that passed to the House of Nassau in the 1500s
500|COLOR MY WORLD|Green thumb|If you have one of these, you're great at making plants grow
100|AMERICAN HISTORY|Hawaii|In 1900 Sanford B. Dole became the first governor of this U.S. territory
200|AMERICAN HISTORY|Oliver Hazard Perry|During the War of 1812, he had command of 3 brigs, 5 schooners & a sloop on Lake Erie
300|AMERICAN HISTORY|Statue of Liberty|Shrapnel from a 1916 munitions storage plant explosion in Jersey City, NJ damaged this famous statue
400|AMERICAN HISTORY|Sweatshops|Frances Perkins was trying to improve working conditions in these in the 1910s, Kathie Lee in the '90s
500|AMERICAN HISTORY|Louisiana Purchase|The U.S. made this great buy from France in 1803 & would have been happy with just New Orleans
100|PEOPLE|Imelda Marcos|The N.Y. Times ran a correction when it misstated the shoe size of this Philippine first lady in November, 1988
200|PEOPLE|Geraldo Rivera|He says that Gerry Rivers is not his real name but admits he was sometimes called Gerry as a kid
300|PEOPLE|John Paul II (Karol Wojtyla)|At the age of 58, he became the youngest man elected pope in the 20th century
400|PEOPLE|Dan Quayle|Marilyn Tucker married this fellow Indiana Univ. law student after a whirlwind 10-week courtship
500|PEOPLE|Sonny Bono|Congressman heard here, years before he entered politics: <i>Babe, I got you babe...</i>
100|SPORTS|Ted Williams|In 1941 this Red Sox star led the major leagues in both batting average, .406, & home runs, 37
200|SPORTS|2|A little birdie told us an eagle is a score this many under par on one hole
300|SPORTS|Lou Gehrig|He played in 2,130 consecutive games; no wonder he was the pride of the Yankees
400|SPORTS|Hawks|This Milwaukee NBA team moved to St. Louis in 1955 & then to Atlanta in 1968
500|SPORTS|John Henry|This steel-driving thoroughbred retired in 1985 with career earnings of over $6.5 million
100|S-S-SNAKES-S-S|Sheds its skin|Each time a rattlesnake does this, its rattle gets a little bigger
200|S-S-SNAKES-S-S|Venom|These fluids are classified into 2 major groups: neurotoxic & hemotoxic
300|S-S-SNAKES-S-S|Anaconda|This snake, subject of a 1997 film, is the largest in the Western Hemisphere
400|S-S-SNAKES-S-S|Asp|The Naja Haje or Egyptian cobra is commonly known by this 3-letter name
500|S-S-SNAKES-S-S|Fer-de-lance|This snake's French name is from its head's resemblance to the tip of a knight's weapon
100|PEOPLE IN SPACE|Sally Ride|The June 1983 Challenger flight had the first 5-person crew, including this first U.S. woman in space
200|PEOPLE IN SPACE|Skylab|After going to the moon, Pete Conrad & Alan Bean's next trips were to this U.S. space station
300|PEOPLE IN SPACE|Gemini|James Lovell went on 2 Apollo missions & 2 of these missions that had 2-man crews
400|PEOPLE IN SPACE|Scott Carpenter|With Deke Slayton grounded with a heart condition, this man got to be the second U.S. man in space
500|PEOPLE IN SPACE|Mir|Astronaut Michael Foale was left in the dark in June 1997 after a supply ship punctured this craft's Spektr module
100|POP MUSIC|A Hard Day's Night|On July 6, 1964 this first Beatles film premiered in London
200|POP MUSIC|The Who|In 1989, Roger Daltrey, Pete Townshend & John Entwistle reunited as this group for an American tour
300|POP MUSIC|Sun Records|In 1969 Sam Phillips sold this Memphis-based record label to Shelby Singleton of Nashville
400|POP MUSIC|Sarah McLachlan|Noted singer & tour organizer heard here
500|POP MUSIC|Arrested Development|Despite its name, this group seen here is better known for its music than its encounters with the police
100|TV MDs|Grey's Anatomy|Drs. Cristina Yang & Miranda Bailey practice on this McDreamy series
200|TV MDs|ER|Maria Bello & Sherry Stringfield are among the many who doctored up this long-running NBC show
300|TV MDs|Gregory House|Drs. Lisa Cuddy & Allison Cameron have roamed Princeton-Plainsboro Hospital with this acerbic title doc
400|TV MDs|Crossing Jordan|Dr. Cavanaugh (the first name would give things away) was a Boston M.E. with a checkered past on this drama
500|TV MDs|Bones|We dig forensic anthropologist Dr. Temperance Brennan on this Fox drama
100|MAIDEN NAMES|Brown|Helen Gurley
200|MAIDEN NAMES|Lindbergh|Anne Morrow
300|MAIDEN NAMES|King|Billie Jean Moffitt
400|MAIDEN NAMES|Jagger|Bianca Macias
500|MAIDEN NAMES|Curie|Marie Sklodowska
100|THE CANARY|London|The 50-story Canary Wharf Tower on the Thames River is this capital city's tallest building
200|THE CANARY|Tiffany|The world's largest canary diamond, a vivid yellow gem from South Africa, bears the name of this NYC jeweler
300|THE CANARY|Germany|Harz Mountain & St. Andreasberg are 2 regions in this European country famous as canary breeding centers
400|THE CANARY|Calamity Jane|Better-known nickname of Wild West woman Martha Jane Canary
500|THE CANARY|Spain|Canaries take their name from the Canary Islands, which belong to this country
100|KID'S TOUGH|Spy Kids|As this title duo, Carmen & Juni Cortez have a secret-agent mom & dad in 3 Robert Rodriguez movies
200|KID'S TOUGH|Cody Banks|Frankie Muniz has saved the day in 2 movies as this CIA teen
300|KID'S TOUGH|X-Men|Anna Paquin seeks treatment for a mutant gene in her body in the latest installment of this film series
400|KID'S TOUGH|Bad News Bears|Tanner, Engelberg & the rest of this underdog baseball team showed moxie vs. the Yankees in a 2005 remake
500|KID'S TOUGH|Anakin Skywalker|Jake Lloyd won the pod race as this 9-year-old kid who is stuck on Tatooine
100|CANADA, MEXICO OR THE U.S.|Canada|The largest in area
200|CANADA, MEXICO OR THE U.S.|Mexico|It's 90% Catholic
300|CANADA, MEXICO OR THE U.S.|the U.S.|The most populous
400|CANADA, MEXICO OR THE U.S.|Canada|It has 2 official languages
500|CANADA, MEXICO OR THE U.S.|Mexico|Ruled by an emperor from 1864 to 1867
100|WHAT PLANET ARE YOU FROM?|Mars|It has seasonal weather patterns & iron-rich minerals in the soil, giving it a distinct red color
200|WHAT PLANET ARE YOU FROM?|Jupiter|Greater in mass than all the other planets combined, it's surrounded by dozens of moons
300|WHAT PLANET ARE YOU FROM?|Mercury|Its mean distance from the Sun is only about 36 million miles
400|WHAT PLANET ARE YOU FROM?|Neptune|It's the smallest & densest of the outer gas giants & has an appropriate name, as it has a watery interior
500|WHAT PLANET ARE YOU FROM?|Saturn|Bands of debris & ice surround it, as do its satellites, including Titan
100|THE NORTHERNMOST CAPITAL CITY|Brussels|Paris, Brussels, Rome
200|THE NORTHERNMOST CAPITAL CITY|San Salvador|San Salvador, San Jose, Santiago
300|THE NORTHERNMOST CAPITAL CITY|Pyongyang|Pyongyang, Tokyo, Taipei
400|THE NORTHERNMOST CAPITAL CITY|Ankara|Riyadh, Baghdad, Ankara
500|THE NORTHERNMOST CAPITAL CITY|Minsk|Minsk, Monrovia, Manama
100|SCIENCE|Pierre & Marie Curie|In 1935 the daughter of this famed pair won a Nobel Prize for the discovery of artificial radioactivity
200|SCIENCE|CO2|(Hi, I'm Nobel laureate Rudy Marcus)  It's the chemical formula for dry ice
300|SCIENCE|gravity/the Earth|The term geotropism refers to the effect that this has on the direction plants grow or bend
400|SCIENCE|lichens|In the Arctic, some of these organisms consisting of an alga & a fungus may be 4,000 years old
500|SCIENCE|Carbon Dioxide|In breathing it's the gas you expel to the atmosphere
100|ANNUAL EVENTS|Ash Wednesday|Lent begins on this day of the week
200|ANNUAL EVENTS|Salt Lake City|Christmas festivities in this Utah city begin with the lighting of Temple Square in November
300|ANNUAL EVENTS|Cannes|In May, 1993, this city on the Riviera held its 46th International Film Festival
400|ANNUAL EVENTS|Jumping-Frog Contest|Inspired by a short story, Angels' Camp in Calaveras County, CA, hosts this type of contest each May
500|ANNUAL EVENTS|London Bridge|In autumn, Lake Havasu City, AZ, celebrates the dedication of this landmark
100|POSTCARDS FROM THE EDGE|a dam|Tajikistan rocks!  We just looked off one of these on the Vakhsh River; it's 300 meters tall & makes 3/4 of the country's power
200|POSTCARDS FROM THE EDGE|the Gateway Arch|Had fun going to the top of this 630' monument, tallest in the U.S.; we looked east & saw the Mississippi River & Illinois
300|POSTCARDS FROM THE EDGE|Morocco|We'll always have the Hassan II mosque in this West African country; it has the world's tallest minaret!
400|POSTCARDS FROM THE EDGE|Angel Falls|Wish you weren't here!  Our raft is nearing the drop of this tallest Venezuelan cataract!  See you next fall!
500|POSTCARDS FROM THE EDGE|Dubai|Toured the Burj in this U.A.E. city.  They say it's the tallest tower in the world; looked over ledge & lost my lunch
100|THE ENGLISH PATENT|(Oliver) Cromwell|In England no patents are listed from Jan. 30, 1649 to May 29, 1660 due to this man's tenure as Lord Protector
200|THE ENGLISH PATENT|Eton|The first British patent was given in 1449 by Henry VI to make stained glass for this largest English boys' college
300|THE ENGLISH PATENT|(James) Watt|Litigation on this man's 1796 patent for steam engines established that improvements for known machines were allowed
400|THE ENGLISH PATENT|Elizabeth I|John Harrington's patent for a water closet was denied by this ruler in 1596 on grounds of propriety
500|THE ENGLISH PATENT|theatre troupe|James Burbage was part of the Earl of Leicester's men, which in 1574 was the first ever of these to get a patent
100|BRAVE HEART|Yeltsin|The first popularly elected president of the Russian Republic, he survived 5 heart attacks during his 2 terms
200|BRAVE HEART|Cheney|In 1991 George H.W. Bush gave this Defense Secretary & heart attack survivor the Medal of Freedom
300|BRAVE HEART|(Dr. Christiaan) Barnard|This South African performed the first human heart transplant & disdained his nation's system of apartheid
400|BRAVE HEART|angioplasty|Invasive coronary bypass surgery was the standard for unclogging arteries before the advent of this procedure
500|BRAVE HEART|Robert Jarvik|The first permanent artificial heart, implanted in Barney Clark in 1982, was named for this doctor
100|TEUTONIC|Germany|Teutonic Knights trace their origin to this present country where men from Bremen & Lubeck formed a fraternity
200|TEUTONIC|Vienna|The current headquarters of the Teutonic Knights are in this European capital at Singerstrasse 7
300|TEUTONIC|poverty|In 1263 Urban IV allowed the Teutonic Knights freedom from this vow, increasing their influence & wealth
400|TEUTONIC|grandmaster|Hermann Von Salza reigned over the Knights from 1210 to 1239 with this title, like one a chess expert might have
500|TEUTONIC|Prussia|In 1525 Teutonic Knight Albert of Hohenzollern made himself Duke of this area; Frederick I later ruled there
100|HEALTH & MEDICINE|forceps|Of forceps, biceps, or triceps, the one that's a surgical instrument
200|HEALTH & MEDICINE|a tick|Like lyme disease, Rocky Mountain spotted fever is transmitted by one of these arachnids
300|HEALTH & MEDICINE|a mammogram|The AMA now advises women to have this breast cancer screening annually beginning at age 40
400|HEALTH & MEDICINE|sickle cell anemia|It's estimated that 1 in 12 African-Americans has the trait for this blood disease
500|HEALTH & MEDICINE|the American Heart Association|This assoc. spread CPR by starting a program in 1960 to sell doctors on closed rather than open chest massage
100|RHYME TIME|borrow sorrow|Accept the loan of someone else's pain & sadness
200|RHYME TIME|a heart part|Mitral valve or ventricle
300|RHYME TIME|rice price|$1.99 for a box of Uncle Ben's
400|RHYME TIME|cool pool|A chilly swimming basin
500|RHYME TIME|loud crowd|A large, noisy group of people
100|2003 NOBEL PRIZE WINNERS|Economics|Robert Engle & Clive Granger earned this prize for their new statistical models for financial data
200|2003 NOBEL PRIZE WINNERS|South Africa|Of both Boer & English descent, J.M. Coetzee of this country won the Nobel for Literature
300|2003 NOBEL PRIZE WINNERS|Physics|Abriskosov, Ginzburg & Leggett fielded this award for their work with quantum superconductivity
400|2003 NOBEL PRIZE WINNERS|Iran|John Paul II was the favorite, but Shirin Ebadi, a female Muslim from this country, took home the Peace Prize
500|2003 NOBEL PRIZE WINNERS|Medicine|For their work leading to the MRI, American Paul Lauterbur & Briton Sir Peter Mansfield scanned this Nobel
100|LITERARY POP|Tom Jones|Welsh singer Thomas John Woodward became this after his boss compared him to a Henry Fielding character
200|LITERARY POP|Moby|This techno musician got his name from a book about a big ocean mammal
300|LITERARY POP|Charlie and the Chocolate Factory|The band Veruca Salt took its name from the spoiled rich girl in this Roald Dahl children's book
400|LITERARY POP|Steppenwolf|This band was born to be wild enough to take its name from a Herman Hesse novel
500|LITERARY POP|the Doors|These mega-cool rockers took their band name from an Aldous Huxley book about using mescaline
100|A THOUSAND SOMETHING|Trinidad|At 1,864 square miles, it's much bigger than its neighbor Tobago
200|A THOUSAND SOMETHING|John F. Kennedy|His term as U.S. president was just 1,036 days
300|A THOUSAND SOMETHING|the Eiffel Tower|There are mille six cent soixante-cinq steps to the top of this famous landmark
400|A THOUSAND SOMETHING|the Equator|To travel at a speed of 1,037 miles per hour just stand on the Earth anywhere along this
500|A THOUSAND SOMETHING|1620|It's the number inscribed on Plymouth Rock
100|THE INTERNET|DSL|3-letter abbreviation for a type of line that keeps you constantly connected at high speed
200|THE INTERNET|.edu|Zone names include com, gov, net & this one found after www.stanford & www.hofstra
300|THE INTERNET|Usenet|This network that encompasses thousands of news groups was created in 1979 by 2 Duke University grad students
400|THE INTERNET|iTunes|Use your digital jukebox software to connect to this No. 1 online music store
500|THE INTERNET|DSL|Ordinary analog phone lines that deliver a low-cost broadband data connection use this 3-letter technology
100|5-LETTER WORDS|Check|It's a danger to a chess player's king, or something you request from a waiter
200|5-LETTER WORDS|Gorge|As a noun it's a steep-walled canyon; as a verb, to stuff yourself with food
300|5-LETTER WORDS|Niche|An organism's ecological role in the community, or a recess in the wall for a statue
400|5-LETTER WORDS|fetch|A command to your pooch to retrieve something
500|5-LETTER WORDS|pulse|You have one of these, aka a heartbeat, I assume
100|U.S. CITIES|Dover|Found on the St. Jones River, this capital of Delaware bears the name of an English seaport
200|U.S. CITIES|Rochester|The prestigious Eastman School of Music is located in this city in western New York
300|U.S. CITIES|Omaha|The Durham Western Heritage Museum in this Nebraska city is housed in the old Union Pacific depot
400|U.S. CITIES|Charlotte|Now the largest city in the Carolinas, it hosted the last full meeting of the Confederate cabinet in 1865
500|U.S. CITIES|Buffalo|New York State's second-largest city, it's the seat of Erie County
100|COMMON COMPUTER ABBREV.|operating system|Windows is one: OS
200|COMMON COMPUTER ABBREV.|instant message|Hello: IM
300|COMMON COMPUTER ABBREV.|central processing unit|It's the brains of the operation: CPU
400|COMMON COMPUTER ABBREV.|bytes per second|It's a measure of speed: BPS
500|COMMON COMPUTER ABBREV.|local area network|A regional computer linker: LAN
100|THE KOREAN WAR|helicopters|One of the war's innovations was the use of these aircraft for observation & for evacuation of the wounded
200|THE KOREAN WAR|M*A*S*H units|These medical units located near the front lines were immortalized in a movie & a TV series
300|THE KOREAN WAR|Congressional Medal of Honor|131 of these highest U.S. military awards for battlefield bravery were awarded in the Korean War
400|THE KOREAN WAR|Inchon|The amphibious invasion of this port was officially designated Operation Chromite
500|THE KOREAN WAR|prisoners (of war)|Between August 5 & Sept. 6, 1953 Operation Big Switch was the final exchange of these
100|AMERICAN HISTORY|Sedition Acts|If this act hadn't passed July 14, 1798, we would have had just the Alien Acts
200|AMERICAN HISTORY|John C. Calhoun|In 1844 John C. Fremont crossed the Sierra Nevada & this John C. became Secretary of State
300|AMERICAN HISTORY|Michigan|In 1805 this territory was created from the Indiana one, with all or parts of the lower & upper peninsulas
400|AMERICAN HISTORY|Mt. St. Helens|In May 1980 at least 26 people were killed when this volcano in Washington erupted
500|AMERICAN HISTORY|(Peter) Stuyvesant|In September 1664 this governor of New Amsterdam surrendered to the British, ending Dutch power in the New World
100|TEA TIME|Japan|Koicha is a thick tea served during the Cha-No-Yu, this country's famous tea ceremony
200|TEA TIME|Iced tea|Ironically, it was an Englishman who introduced tea served this way, at the St. Louis World's Fair
300|TEA TIME|Java|Tea is also grown on this island, whose name is synonymous with coffee
400|TEA TIME|Tea And Sympathy|Deborah Kerr served more than tea in this 1956 film based on a play
500|TEA TIME|Lipton|Spots for this brisk tea starred claymation baseball heroes Reggie Jackson & Babe Ruth
100|GREAT BRITS|Lord Nelson|He joined the British navy at age 12 & died at the Battle of Trafalgar 35 years later
200|GREAT BRITS|Richard I|Returning from the Crusades in 1192, this English king was captured in Vienna & jailed for over a year
300|GREAT BRITS|Oliver Cromwell|There was no royal fun allowed when this man took power in England in 1653
400|GREAT BRITS|Posh Spice|One of the social events of 1999 was this Spice Girl's castle wedding to soccer star David Beckham
500|GREAT BRITS|Milton|In the 20 years before “Paradise Lost”, he was more focused on pamphleteering than poetry
100|AROUND THE COMMONWEALTH|Australia|The first people to settle this country migrated there 40,000 years ago; Europeans settled Botany Bay in 1788
200|AROUND THE COMMONWEALTH|India|The world's seventh-largest country in size, this Commonwealth country is second by population
300|AROUND THE COMMONWEALTH|Canada|This westrn hemisphere Commonwealth nation has more lakes & inland rivers than any other country
400|AROUND THE COMMONWEALTH|Nigeria|English is the official language of this oil-rich country that borders Chad, NIger & Cameroon
500|AROUND THE COMMONWEALTH|Sri Lanka|Constitutional changes in 2000 for this Asian country may help end its civil war between Tamils & Sinhalese
100|THE BRITISH INVASION|Herman's Hermits|These “Hermits” got  their name because their lead singer resembled a character on TV's “Rocky & His Friends”
200|THE BRITISH INVASION|Petula Clark|Called the most successful female singer in British history she had her first U.S. No. 1 hit in 1964 with “Downtown”
300|THE BRITISH INVASION|Van Morrison|Born in Belfast, he sang lead for the group Them before scoring hits on his own like “Brown Eyed Girl”
400|THE BRITISH INVASION|The Kinks|Featuring a frenzied solo, this British band's “You Really Got Me” soared to No. 1
500|THE BRITISH INVASION|The Moody Blues|Hits like “Tuesday Afternoon” from “Days of Future Passed” hooked this band musically into the Summer of Love
100|THE DREADED COUNTING CATEGORY|1, 2, 3|In baseball it's how a pitcher-to-catcher-to-first double play is scored (this is an easy one)
200|THE DREADED COUNTING CATEGORY|7, 8, 9|In poker if you've got a jack high straight, these are your 3 lowest cards
300|THE DREADED COUNTING CATEGORY|998, 999, 1000|If a Spanish child tells you to count to mil while he hides, you'll end with this trio of numbers
400|THE DREADED COUNTING CATEGORY|49, 50, 51|If Joe Biden counts senators to see if he has a quorum, he can stop after these 3 numbers
500|THE DREADED COUNTING CATEGORY|42, 43, 44|If you're counting out pennies to buy a first class stamp, you'll end with these 3 numbers
100|TOYS & GAMES|Monopoly|More than 5 billion little green houses have been constructed for this board game since it was introduced in 1935
200|TOYS & GAMES|Twister|This game has a spinner with sections for right foot, right hand, left foot & left hand
300|TOYS & GAMES|Webkinz|Ms. Birdy will help if you adopt these plush pets with secret codes for use on the Internet
400|TOYS & GAMES|Lego|Technic & Mindstorms are 2 of the lines of building sets from this brand
500|TOYS & GAMES|6|Number of pockets on a pool table
100|GEOGRAPHY|French Guiana|In the mid 1960s, France began building a space center near Kouru in this, its South American territory
200|GEOGRAPHY|Macedonia|This Yugoslavian republic covers part of and shares its name with Alexander the Great's ancient home
300|GEOGRAPHY|Pitcairn Island|Most of the 60 to 70 people who live on this South Pacific island are descendants of the mutineers
400|GEOGRAPHY|islands|Christmas, Easter, or Bermuda, for example
500|GEOGRAPHY|Saudi Arabia|1/3 the size of U.S., this royal kingdom has no rivers or lakes but lots of oil
100|TRIVIA|orange|If the item is colored yellow & you use a red dye, the resulting color is this
200|TRIVIA|April 15|Filing an IRS form 4868 gets you a 4-month extension from this date
300|TRIVIA|suntan lotion|In 1983 Americans used over 1¼ million gallons of this beach product
400|TRIVIA|the Liberty Bell|When it was rung for Chief Justice John Marshall's funeral, it cracked
500|TRIVIA|the Olympic torch|It spent the night in a discount-house parking lot before heading to L.A. Coliseum
100|AMAZON|Atlantic Ocean|Beginning in Peru, the Amazon flows over 4,000 miles to this ocean
200|AMAZON|Piranha|Abundant in the Amazon River, this feared fish is also known as a caribe
300|AMAZON|Brazil|The upper Amazon is known as the Solimoes River until it reaches this nation's city of Manaus
400|AMAZON|Spain|A 1542 attack by female warriors against explorers from this country led to the Amazon receiving its name
500|AMAZON|Anacondas|These water boas of the Amazon region can grow to over 200 pounds & over 20 feet
100|THE ONION|shopping malls|Aug. 9, 2000: Popular names for these include Shopwood, Storemont & Indianburialgroundbrook
200|THE ONION|Tears|Sulfuric compounds in onions induce these in humans who are slicing them
300|THE ONION|Pearl onions|These small onions often used in cream sauces bear the name of a gem
400|THE ONION|Leek|This onion relative is a national emblem of Wales
500|THE ONION|Maui onions|Grown on the slopes of Haleakala, this Hawaiian island's onions are among the world's tastiest
100|FICTION|Dorian Gray|In an 1891 novel Basil Hallward is the painter of this man's mysterious portrait
200|FICTION|Owen Meany|Say a little prayer for this title character of a 1989 John Irving novel, who speaks in capital letters
300|FICTION|Rikki-Tikki-Tavi|In a Kipling story, this mongoose heroically battles a cobra
400|FICTION|Infinite Jest|David Foster Wallace is the author of this 1996 comic novel whose title might refer to its vast length
500|FICTION|Ed McBain|Evan Hunter wrote the popular 87th precinct novels under this pen name
100|THE PRESIDENT'S FIRST 100 DAYS|LBJ|Sworn in on Air Force One
200|THE PRESIDENT'S FIRST 100 DAYS|Reagan|Shot outside the Washington Hilton
300|THE PRESIDENT'S FIRST 100 DAYS|(Jimmy) Carter|Meets with Yitzhak Rabin & wife; meets with Anwar Sadat & wife
400|THE PRESIDENT'S FIRST 100 DAYS|FDR|Signs the Tennessee Valley Authority act into law
500|THE PRESIDENT'S FIRST 100 DAYS|Truman|Signs the U.N. charter in San Francisco
100|AROUND THE WORLD|Iceland|Vatnajokull, the largest glacier in this country, covers some 3,200 square miles
200|AROUND THE WORLD|Great Britain|The cross of St. George on Manitoba's flag symbolizes its ties with this country
300|AROUND THE WORLD|Portugal|Prince Henry the Navigator's tomb is in the church of Santa Maria da Vitoria in Batalha in this country
400|AROUND THE WORLD|France|The Bayeux Tapestry is on display in this country's Museum of Queen Matilda
500|AROUND THE WORLD|Russia|If you've got a week to spare, you can see much of this 6.6 million sq. mi. country via the Trans-Siberian Railway
100|FOOD|beef|Carpacchio, an Italian dish of raw shavings of this meat, is often served with capers
200|FOOD|bread|Naan, an east Indian form of this, is usually baked in a tandoor
300|FOOD|potatoes|The Quechua language of Peru has about one thousand words for these tubers Peruvians have grown for eight thousand years
400|FOOD|icing (or frosting)|An alcohol called glycerol gives this part of a cake its smooth texture
500|FOOD|noodles (or pasta)|Rotelle, conchiglie & farfalle are shapes of this
100|A LITTLE LIT|David Copperfield|Dickens' mother was probably the inspiration for Mrs. Micawber in this very autobiographical novel
200|A LITTLE LIT|Cromwell|Prosper Merimee was just 19 when he wrote his first play, about this Lord Protector of England
300|A LITTLE LIT|Don Quixote|In this Cervantes novel, Alonso's plans never work out as he tries to be chivalrous
400|A LITTLE LIT|Darcy|At first, Jane Austen's heroine Elizabeth doesn't like this man's attitude, but in the end they're united
500|A LITTLE LIT|Candide|The title character of this Voltaire work discovers gardening will make him happy
100|PICTURE THIS|Aesop|One of the first printed books with illustrations was a collection of this ancient man's fables in 1476
200|PICTURE THIS|Lady Bird Johnson|In 1964 this first lady made the first call to inaugurate the new commercial picturephone service
300|PICTURE THIS|airplanes|Nose art, referring to pictures on the noses of these, really took off during WWII
400|PICTURE THIS|Marilyn Monroe|The rights to 5 of Tom Kelley's red velvet photos of this actress taken in 1949 were put on eBay in 2001, but weren't sold
500|PICTURE THIS|St. Patrick's Day & Christmas Day|[video clue - audio portion also missing]
100|NOTABLE NAMES|Ivan Pavlov|It might ring a bell that this Russian came up with the concept of the conditioned reflex
200|NOTABLE NAMES|Bede|He was declared venerable in 836 & was made a saint in 1899
300|NOTABLE NAMES|Neil Armstrong|On July 20, 1969 at 10:56 P.M. Eastern Daylight Time, he became the first man to set foot on the moon
400|NOTABLE NAMES|Sacajawea|You're on the money if you know she's the Native American guide depicted on the new gold-colored dollar coin
500|NOTABLE NAMES|Louis Braille|This Frenchman gave his name to the raised dot printing & writing system used by the blind
100|PRESIDENTIAL ALMA MATERS|Lyndon Johnson|Southwest Texas State (class of 1930)
200|PRESIDENTIAL ALMA MATERS|U.S. Grant|U.S. Military Academy (class of 1843)
300|PRESIDENTIAL ALMA MATERS|John Kennedy|Harvard (class of 1940)
400|PRESIDENTIAL ALMA MATERS|John Adams|Harvard (class of 1755)
500|PRESIDENTIAL ALMA MATERS|Woodrow Wilson|Princeton (class of 1879)
100|COLORS|the Yellow Brick Road|Colorful causeway Elton John bids adieu to in '73 hit
200|COLORS|white elephants|It was said rajahs gave their rivals these animals to create financial burden
300|COLORS|Green|Kendal & Kelly are shades of this
400|COLORS|Camel|This tan color shares its name with a humped quadruped ruminant
500|COLORS|Red|When talking playing cards, diamonds are this color
100|SUDBURY, MY HOMETOWN|Parking meters|In 1940 Sudbury became the first Canadian city to install these meters, eh
200|SUDBURY, MY HOMETOWN|Ice hockey|A team called the Sudbury Wolves plays in the regional league of this sport
300|SUDBURY, MY HOMETOWN|Ontario|Science North, a science center in Sudbury, is one of the biggest tourist attractions in this province
400|SUDBURY, MY HOMETOWN|Northern Lights|Sudbury's Festival Boreal in July celebrates this natural phenomenon
500|SUDBURY, MY HOMETOWN|Nickel|I'll bet 5 cents you can name this metal, the mining of which once dominated Sudbury's economy
100|MODERN SPORTS EQUIPMENT|Bicycle|Seat, chain, front & rear derailleurs
200|MODERN SPORTS EQUIPMENT|Mountain climbing|Chocks, carabiners, rope
300|MODERN SPORTS EQUIPMENT|Skydiving|A canopy, risers, ripcord pins
400|MODERN SPORTS EQUIPMENT|Surfing|A leash, a wetsuit, wax
